,Unnamed: 0,emotions,gender,emotional_intensity,repetions,voice_channel,log_energy,zero_rate_cross,pitch,spec_center,spec_contrast,chroma
0,0,1,1,1,1,1,1.2100886331857545,0.2765472912397541,425.633360452576,2561.6156544074015,18.579795206699345,0.5886292641355511
1,1,1,1,1,2,1,0.9538213820818779,0.23279680524553573,135.46368966227735,2389.013861088247,18.979816443685763,0.5612128107063613
2,2,1,1,1,1,1,2.360058244743353,0.2764423076923077,263.6136011773925,2364.0816243501677,18.60409699182024,0.5683341432616749
3,3,1,1,1,2,1,1.9631698838527465,0.24162109375,400.33124334555777,2265.2996475376362,19.000360139955323,0.5726158429620339
4,4,2,1,1,1,1,0.2825387481552018,0.23292257018008475,151.82894504329386,2361.018676081382,18.62994082313343,0.5354518032822378
5,5,2,1,1,2,1,-0.00844010487270083,0.2803419682017544,472.57969405806654,2298.5109659046307,18.788208439192314,0.5774299951103492
6,6,2,1,1,1,1,0.5531362558435368,0.3627303685897436,117.88211788211787,2404.2591023922423,19.205434398878413,0.5646079076867565
7,7,2,1,1,2,1,0.7750025837164527,0.2938927283653846,113.82670244763432,2255.733420549226,19.215057543795066,0.5507870220486822
8,8,2,1,2,1,1,1.505072275779564,0.34304373604910715,90.988862639217,2301.900873924363,18.777779968855267,0.5756979126057222
9,9,2,1,2,2,1,0.6605403047406034,0.23328846424549549,110.8891108891109,2342.1548926483706,18.944879798137524,0.5580746934497325
10,10,2,1,2,1,1,1.2066632346621848,0.31076434480042014,114.64589403579711,2301.8938420974296,19.675189858165883,0.5070858818995246
11,11,2,1,2,2,1,0.930844714705271,0.37612516983695654,115.38461538461539,2407.3307346164797,19.274398016931002,0.5324319116672581
12,12,3,1,1,1,1,0.10480611312355582,0.32637364411157027,152.15316175278716,2252.4643899867265,19.30543067679611,0.5656698352018323
13,13,3,1,1,2,1,0.3032209262350767,0.27471923828125,499.98198912142936,2153.2458770521544,19.663962186324547,0.5412606095971282
14,14,3,1,1,1,1,0.001961763804595228,0.2921481092436975,150.98073864640395,2366.749306326324,19.52576976782322,0.5270430282526642
15,15,3,1,1,2,1,1.2575327973665025,0.2452744306144068,273.7765777927776,2403.2995075706426,20.04838669870261,0.5110554628061035
16,16,3,1,2,1,1,0.7829657903066279,0.32585470085470086,582.2293362394851,2397.2995102770915,19.78857056904294,0.48825749644199157
17,17,3,1,2,2,1,-0.009946306824404366,0.2857881433823529,547.97910365686,2018.9735488119832,20.205667113380194,0.48079045047726887
18,18,3,1,2,1,1,0.09916978991123782,0.1935974625516529,399.7714140580354,2389.7562786218846,20.787581848858327,0.4760671117040291
19,19,3,1,2,2,1,-0.0277559657925712,0.2575495793269231,514.8181659444101,2422.543974269542,20.504222053464062,0.48869304942099767
20,20,4,1,1,1,1,1.0431222781623133,0.2622954269935345,132.64923853734018,2347.2212906629534,18.616514915407937,0.539350006624864
21,21,4,1,1,2,1,1.490053371841657,0.32551695808531744,233.03690217771867,2224.601824283901,19.009796779550477,0.5328957965387131
22,22,4,1,1,1,1,2.015797033601218,0.2918663024902344,211.50278293135435,2508.277774911494,17.91342497885332,0.5966424017806282
23,23,4,1,1,2,1,2.215866313160334,0.27001073338963966,502.6613007918993,2426.5749435930347,18.496883291394845,0.540845460670019
24,24,4,1,2,1,1,0.11664727436011503,0.31269622517523366,267.36333612658353,2204.3248554901065,19.293867272496048,0.5435907899837139
25,25,4,1,2,2,1,0.7313634303515627,0.2828587123325893,384.7451906851164,2478.918721874857,19.231353287024064,0.5277282508277761
26,26,4,1,2,1,1,0.6684890045970427,0.21923828125,546.1417533531793,2397.5330322167997,19.874957971994803,0.5372297659387564
27,27,4,1,2,2,1,0.32942750593090675,0.2699444110576923,486.2107604569097,2499.2656202055236,19.73831562349277,0.5309511819740259
28,28,5,1,1,1,1,1.2758964062881173,0.23670643299549549,153.72442635921783,2565.8909062509856,18.957608391709314,0.5057081874763459
29,29,5,1,1,2,1,1.4091556626324426,0.22804542824074073,309.34806419353305,2549.2417813113766,19.314766885659523,0.5114149497084858
30,30,5,1,1,1,1,0.22758283941696025,0.2607252038043478,442.98558584272865,2427.0819602941215,19.231607263086627,0.5343254283393053
31,31,5,1,1,2,1,0.35788063130403824,0.2955441095132743,397.103339855836,2461.4546077496298,20.017371983889763,0.4997822661801802
32,32,5,1,2,1,1,0.5324642178074044,0.23472152217741934,400.0852800536046,2545.1524369852027,19.73477772934577,0.4849026872991827
33,33,5,1,2,2,1,0.8149471114216648,0.2586754108297414,272.7025751748002,2611.0281421017175,20.99619372110024,0.37254723153512137
34,34,5,1,2,1,1,1.319448740829672,0.3003509004237288,280.6042296072507,2733.2255315261036,19.89605902274704,0.46216558172325717
35,35,5,1,2,2,1,1.0456299934629638,0.3121732271634615,747.8909935920005,2701.876797798165,20.82897916792433,0.40319441457707067
36,36,6,1,1,1,1,0.4537697854600839,0.3507513881714876,168.3751660252699,1949.7999880819618,20.246706903563688,0.5035098738385828
37,37,6,1,1,2,1,0.16910428227218519,0.32137625558035715,152.048391531482,2100.174201469669,20.380342481938293,0.46030099703464467
38,38,6,1,1,1,1,0.4429994404057309,0.220836672008547,133.8449508083435,1894.93325541331,19.724843449657236,0.5357234203872516
39,39,6,1,1,2,1,2.4616315510932405,0.26168536324786323,129.06056463997032,2232.071207329474,19.963292287305986,0.5315106156012115
40,40,6,1,2,1,1,2.1139624856251578,0.25050914797008544,260.7392607392607,2311.651509711734,20.194035955928545,0.4353890984646742
41,41,6,1,2,2,1,0.6994015493769602,0.3631399054276316,1150.8974793882096,2156.5120329363267,20.92255507177121,0.3861857122302598
42,42,6,1,2,1,1,1.5425076847100907,0.29051133452868855,278.2937195025972,2304.3657343997907,20.421862476743183,0.4147372741328213
43,43,6,1,2,2,1,1.0328643354127014,0.32198531539351855,280.74219938203413,2146.3488952895373,21.173544730035733,0.4004211558824915
44,44,7,1,1,1,1,1.3099337638118276,0.23302786690848215,211.33879119637007,2194.77554330983,19.319785965946764,0.4886476048540074
45,45,7,1,1,2,1,0.14308504223652246,0.22982865021008403,232.32953908713958,2420.409780672205,19.35816517292528,0.5000199868586193
46,46,7,1,1,1,1,0.3527091005402995,0.31005130597014924,139.6026447657013,2273.117469619679,19.519468932455304,0.5109928644346728
47,47,7,1,1,2,1,0.47407009093086955,0.23299078985091742,151.93419659581397,2564.757671249387,19.033740400191345,0.556228029979137
48,48,7,1,2,1,1,-0.009707788862892603,0.21340110085227273,551.7722052011791,2296.9331545575383,20.45292288939877,0.4452969361623701
49,49,7,1,2,2,1,2.304549963234486,0.2989568536931818,468.796637529315,2575.810381856597,19.852476547617318,0.48581315150215704
50,50,7,1,2,1,1,2.297230073474909,0.27285894826680673,232.3291742778414,2273.3825853888725,20.44196472939618,0.46683336392435365
51,51,7,1,2,2,1,1.2492344925206584,0.22676171875,484.779158385404,2350.1927608042674,19.85229673588901,0.5107078738147378
52,52,8,1,1,1,1,0.6941878491562652,0.21685901988636364,396.36397025066566,2474.862082978505,18.34596536665879,0.5754635573235188
53,53,8,1,1,2,1,1.047206700872895,0.26903852982954546,397.5611154647451,2509.246426933192,18.066215588267536,0.6065236118521975
54,54,8,1,1,1,1,1.037125137232254,0.23141012105855857,484.8913235553985,2411.0320989311062,18.978970870223474,0.5573592263647594
55,55,8,1,1,2,1,0.07391155690097277,0.2779154981303419,581.9683097918538,2601.8548951613516,18.48843975900937,0.5920056747831025
56,56,8,1,2,1,1,-0.2087186723173871,0.23619763604525862,234.52389612279043,2418.126614055605,18.32417840261325,0.5758617219916997
57,57,8,1,2,2,1,-0.014347058593677178,0.23018973214285715,233.03690217771867,2494.0728371411874,18.50051524563804,0.5477308236785795
58,58,8,1,2,1,1,0.8173979477379578,0.2649711277173913,152.13358070500925,2587.2391911078785,18.84240534034303,0.5625007815034251
59,59,8,1,2,2,1,1.7837076905539493,0.335205078125,212.54228865230604,2344.864892507944,18.714199058027074,0.5900211543860776
60,60,1,2,1,1,1,-0.2729463742589614,0.152314453125,229.03491888919442,1990.566334057277,19.05049682417045,0.3763337349297245
61,61,1,2,1,2,1,-0.3837879048865665,0.19810267857142858,226.43865552048285,2441.0329342849154,18.60061834964184,0.4895882880418933
62,62,1,2,1,1,1,-0.997651215221707,0.1712158203125,230.74245362772888,2491.928646145569,18.560135104148845,0.5026312495449661
63,63,1,2,1,2,1,0.17239847868879543,0.16763517172029702,226.99365222518992,2462.0564573458496,18.446711060743414,0.48009138054906736
64,64,2,2,1,1,1,1.3854578796935777,0.19507279829545454,235.32860982164672,2371.322603456589,19.48837583907447,0.4388300895312736
65,65,2,2,1,2,1,0.9373920065976734,0.1805850074404762,229.5204795204795,2166.9304970665066,19.42462670632447,0.4216552152661646
66,66,2,2,1,1,1,0.5566047637932494,0.1988765357905983,233.50435703233163,2014.1952531387385,19.149547019548496,0.35374074430496594
67,67,2,2,1,2,1,0.3028245416411964,0.1991593070652174,229.43491263969779,2264.7864873580093,19.281680041075354,0.41426232869193835
68,68,2,2,2,1,1,-0.5896502097938561,0.1928970201880531,496.43504531722056,2457.9185216152723,19.722699129415158,0.46157742827748
69,69,2,2,2,2,1,1.861925476049405,0.1643090578589109,274.6834267314777,2019.5905057808088,20.640584041924583,0.3493081593843839
70,70,2,2,2,1,1,1.8119807112401018,0.1815966356981982,230.9871166204733,2286.612633720795,19.731009164208608,0.3676216532712775
71,71,2,2,2,2,1,1.1773983325709818,0.19025050172018348,194.43852221849968,1953.3558777947915,20.076911454159763,0.3452633076480275
72,72,3,2,1,1,1,0.622482909669527,0.20699740872524752,387.6651982378855,2449.6756300921616,19.632171609548102,0.4720110968609139
73,73,3,2,1,2,1,0.22884698253614355,0.19927469889322916,394.7417269950556,2502.750765256031,19.129346674511353,0.4543355984737049
74,74,3,2,1,1,1,1.200685473726864,0.18494160970052084,1453.147015432559,2199.004102817444,19.875474309316036,0.3719801612307634
75,75,3,2,1,2,1,0.41576636412770274,0.16836676076680673,1452.7210087968695,2439.2191469996824,19.229696429271375,0.4675549886830766
76,76,3,2,2,1,1,0.6780327456296609,0.19781436011904763,1105.6361795477555,2054.4344874051694,20.185148029491156,0.36860801431848694
77,77,3,2,2,2,1,-0.30848382231831223,0.1906056447072072,384.7018356434969,2431.104967538012,19.81600712646911,0.44725077371728716
78,78,3,2,2,1,1,0.5460451797740395,0.21366338315217392,1030.3071211609854,2373.5262598479976,20.450532787344823,0.3879124556169443
79,79,3,2,2,2,1,2.541433830648156,0.16622252383474576,418.8021766862052,2024.406481914283,20.427473876376155,0.35251315880805006
80,80,4,2,1,1,1,1.9374607617419803,0.185638427734375,214.2193989738578,1633.809921269028,20.573526229154186,0.318787284540629
81,81,4,2,1,2,1,0.044281728108953124,0.16998011037844038,213.5030749084158,1788.0904835063197,18.965154754766345,0.33592711794878194
82,82,4,2,1,1,1,0.5275990107761225,0.18585149082568808,1028.8829796129983,1853.8757790745074,20.921877592798776,0.3264347398656755
83,83,4,2,1,2,1,0.8063961307279484,0.17121870799731181,215.09440217481392,2192.907029428121,20.169604323353667,0.38593623847266406
84,84,4,2,2,1,1,1.2593982664387497,0.18016571359536082,263.5715958122889,2091.8837730493306,18.276815746717897,0.39761674710054395
85,85,4,2,2,2,1,-0.778674372868596,0.1404901413690476,234.1903293715915,2074.043398304012,17.907062786630718,0.37497686464100066
86,86,4,2,2,1,1,-0.426551873561939,0.1784100773358586,272.9711942489749,2236.4445091761086,18.74248372616333,0.425660795146192
87,87,4,2,2,2,1,-0.6611853273441495,0.1597900390625,271.90682151006365,1952.7331055111727,19.068709966982425,0.38075660786489984
88,88,5,2,1,1,1,0.2267096365059272,0.1506640625,262.0985594115043,1947.0475704458531,19.20553572042638,0.39655932199875843
89,89,5,2,1,2,1,1.5123577547787153,0.13368140994094488,1063.3790825188162,2424.8176087540387,18.34787644410456,0.5013645023212413
90,90,5,2,1,1,1,0.623963638423479,0.205537109375,264.1603262220896,2380.851427760263,19.050509640986693,0.46677148831856874
91,91,5,2,1,2,1,1.0973302900065611,0.19444861778846154,923.2842049917024,2176.941139370665,18.826699477149756,0.3956500292111347
92,92,5,2,2,1,1,2.4646275753459768,0.16364453125,1059.1870387269264,2103.4101156807274,20.111299591192882,0.3585404182631842
93,93,5,2,2,2,1,1.714320217369155,0.17978418935643564,1112.887112887113,2253.967731132137,19.386634296723443,0.41772626119926276
94,94,5,2,2,1,1,-0.4229840672738156,0.15921223958333333,696.3036963036963,2579.2745988052116,19.933943185506372,0.48170620939145803
95,95,5,2,2,2,1,0.5184845806655781,0.18230607024336284,631.6183816183816,2320.01799632213,20.62336591311154,0.3972596710630627
